Time_Bin,Type,Value,Total,prop,start,end,mid,x,y,r
00:00–04:00,Boardings,1.9512745319196931,5.207562598691631,0.3747001586519458,0,2.3543105314397654,1.1771552657198827,1,1,0.16793911818187382
00:00–04:00,Alightings,3.256288066771938,5.207562598691631,0.6252998413480543,2.3543105314397654,6.283185307179586,4.318747919309676,1,1,0.16793911818187382
04:00–08:00,Boardings,12.720060054268728,21.043316754726433,0.6044703029721652,0,3.7979989262611014,1.8989994631305507,2,1,0.33759166465436585
04:00–08:00,Alightings,8.323256700457707,21.043316754726433,0.39552969702783486,3.7979989262611014,6.283185307179586,5.040592116720344,2,1,0.33759166465436585
08:00–12:00,Boardings,15.680706939559002,33.20143491563553,0.4722900374457761,0,2.9674858240065967,1.4837429120032983,3,1,0.42404607303287384
08:00–12:00,Alightings,17.520727976076532,33.20143491563553,0.5277099625542241,2.9674858240065967,6.283185307179588,4.625335565593092,3,1,0.42404607303287384
12:00–16:00,Boardings,16.203853961948887,31.46085128027037,0.5150481726510242,0,3.2361431108906102,1.6180715554453051,4,1,0.4127811472364787
12:00–16:00,Alightings,15.256997318321483,31.46085128027037,0.4849518273489759,3.2361431108906102,6.283185307179586,4.7596642090350985,4,1,0.4127811472364787
16:00–20:00,Boardings,18.145402971510403,37.39002795257701,0.48530059925402597,0,3.0492335947983444,1.5246167973991722,5,1,0.45
16:00–20:00,Alightings,19.244624981066604,37.39002795257701,0.514699400745974,3.0492335947983444,6.283185307179586,4.666209450988966,5,1,0.45
20:00–00:00,Boardings,8.360791639908927,17.5858543989725,0.47542709328910554,0,2.9871965271892065,1.4935982635946032,6,1,0.3086145200700103
20:00–00:00,Alightings,9.225062759063576,17.5858543989725,0.5245729067108945,2.9871965271892065,6.283185307179586,4.635190917184397,6,1,0.3086145200700103
