Day_Type,Time_Bin,Boardings,Alightings,Total,r
Normal Weekday,00:00–04:00,1.7176085416208555,3.1376896576999194,4.8552981993207744,0.12099575797415764
Normal Weekday,04:00–08:00,14.992897667468338,9.749782849340516,24.742680516808853,0.27314016292575866
Normal Weekday,08:00–12:00,16.816565364997327,19.61551503488782,36.43208039988515,0.3314394321660358
Normal Weekday,12:00–16:00,17.075756790623615,15.666990926991962,32.74274771761558,0.3142098181306731
Normal Weekday,16:00–20:00,19.677502151627067,20.949212885794903,40.626715037421974,0.35
Normal Weekday,20:00–00:00,8.129989365401974,9.065522391960325,17.195511757362297,0.22770351938014874
Normal Weekend,00:00–04:00,2.296409209220725,3.476106932800299,5.772516142021024,0.1319303663516
Normal Weekend,04:00–08:00,3.8070702477415383,2.7056426635348374,6.512712911276376,0.14013388346203584
Normal Weekend,08:00–12:00,13.427547948356178,12.217913993333402,25.645461941689582,0.27807852650820014
Normal Weekend,12:00–16:00,15.27501890257075,15.175064808813998,30.45008371138475,0.30300963330761127
Normal Weekend,16:00–20:00,14.896590589694227,15.65590082639959,30.552491416093815,0.3035187365859035
Normal Weekend,20:00–00:00,9.337207271202823,10.040175608165546,19.37738287936837,0.24171842216756953
Public Holiday,00:00–04:00,1.5463692038495187,2.3170020414114902,3.8633712452610087,0.10793080392671246
Public Holiday,04:00–08:00,3.244565777274132,2.2342124240239003,5.478778201298033,0.12852986458036741
Public Holiday,08:00–12:00,11.140096963632681,10.026921106862499,21.167018070495182,0.2526341351234562
Public Holiday,12:00–16:00,13.277280754526577,13.267577480641968,26.544858235168547,0.2829126687947841
Public Holiday,16:00–20:00,11.996475040174175,12.568969986003836,24.56544502617801,0.272160132995638
Public Holiday,20:00–00:00,6.983288746829726,7.770732724177466,14.754021471007192,0.21091982191037412
School Holiday,00:00–04:00,1.8413322842905848,3.3015997901914504,5.142932074482035,0.12452816386657102
School Holiday,04:00–08:00,10.896165168627363,7.212247730554405,18.10841289918177,0.2336696912108357
School Holiday,08:00–12:00,14.037152367658113,15.650537372001992,29.687689739660104,0.2991922857819826
School Holiday,12:00–16:00,14.942727069644192,14.151459362025005,29.094186431669197,0.29618652683095387
School Holiday,16:00–20:00,16.97502768330673,17.878058088883623,34.853085772190354,0.3241774546161734
School Holiday,20:00–00:00,7.88341129280018,8.759730509772698,16.643141802572877,0.2240164172271211
