Day_Type,Type,Value,Total,prop,start,end,mid,x,y,r
Normal Weekday,Boardings,16.041013539494983,32.06443835888942,0.5002742714515015,0,3.143315951944046,1.571657975972023,1,1,0.45
Normal Weekday,Alightings,16.023424819394435,32.06443835888942,0.49972572854849845,3.143315951944046,6.283185307179586,4.713250629561816,1,1,0.45
Normal Weekend,Boardings,12.183090348223661,24.337392752926988,0.5005914344197135,0,3.1453087456458975,1.5726543728229487,2,1,0.39204662592687267
Normal Weekend,Alightings,12.154302404703328,24.337392752926988,0.49940856558028657,3.1453087456458975,6.283185307179586,4.714247026412742,2,1,0.39204662592687267
Public Holiday,Boardings,10.188326405333713,20.319331659772544,0.5014105077828018,0,3.150455135366356,1.575227567683178,3,1,0.3582245986076874
Public Holiday,Alightings,10.131005254438833,20.319331659772544,0.4985894922171982,3.150455135366356,6.283185307179586,4.716820221272971,3,1,0.3582245986076874
School Holiday,Boardings,13.505997580775123,26.983016886034314,0.500536972489739,0,3.144966551247681,1.5724832756238405,4,1,0.41280594938453363
School Holiday,Alightings,13.477019305259192,26.983016886034314,0.49946302751026095,3.144966551247681,6.283185307179586,4.714075929213633,4,1,0.41280594938453363
