Station_Name,Day_Type,Time_Bin,Boardings,Alightings,Total
Sunbury,Normal Weekday,00:00–04:00,0.13079667063020214,5.648038049940547,5.7788347205707495
Sunbury,Normal Weekday,04:00–08:00,28.041972717733472,3.2381951731374605,31.28016789087093
Sunbury,Normal Weekday,08:00–12:00,20.465174754840334,10.36711088760372,30.832285642444056
Sunbury,Normal Weekday,12:00–16:00,16.210526315789473,24.431941923774954,40.64246823956442
Sunbury,Normal Weekday,16:00–20:00,7.8882093102276585,29.904858987427794,37.79306829765545
Sunbury,Normal Weekday,20:00–00:00,3.190066857688634,7.195160776822668,10.385227634511303
Sunbury,Normal Weekend,00:00–04:00,0.34175334323922735,6.686478454680535,7.028231797919762
Sunbury,Normal Weekend,04:00–08:00,4.192185850052798,2.1330517423442448,6.325237592397043
Sunbury,Normal Weekend,08:00–12:00,21.52191235059761,11.768924302788845,33.29083665338646
Sunbury,Normal Weekend,12:00–16:00,20.016380016380015,16.96969696969697,36.98607698607698
Sunbury,Normal Weekend,16:00–20:00,12.747559274755927,19.274755927475592,32.02231520223152
Sunbury,Normal Weekend,20:00–00:00,4.445165476963011,8.896820246593121,13.341985723556132
Sunbury,Public Holiday,00:00–04:00,0,3.230769230769231,3.230769230769231
Sunbury,Public Holiday,04:00–08:00,5.428571428571429,1.3333333333333333,6.761904761904762
Sunbury,Public Holiday,08:00–12:00,19.4375,7.875,27.3125
Sunbury,Public Holiday,12:00–16:00,15.963855421686747,11.927710843373495,27.89156626506024
Sunbury,Public Holiday,16:00–20:00,7.4866310160427805,17.967914438502675,25.454545454545453
Sunbury,Public Holiday,20:00–00:00,2.843137254901961,7.107843137254902,9.950980392156863
Sunbury,School Holiday,00:00–04:00,0.04950495049504951,4.257425742574258,4.306930693069307
Sunbury,School Holiday,04:00–08:00,18.36624775583483,2.253141831238779,20.61938958707361
Sunbury,School Holiday,08:00–12:00,17.586933614330874,7.997892518440463,25.584826132771337
Sunbury,School Holiday,12:00–16:00,16.11280487804878,19.359756097560975,35.47256097560975
Sunbury,School Holiday,16:00–20:00,6.661931818181818,23.970170454545453,30.632102272727273
Sunbury,School Holiday,20:00–00:00,3.4289439374185138,6.166883963494133,9.595827900912646
Diggers Rest,Normal Weekday,00:00–04:00,0,1.377245508982036,1.377245508982036
Diggers Rest,Normal Weekday,04:00–08:00,13.452256033578173,0.01049317943336831,13.462749213011541
Diggers Rest,Normal Weekday,08:00–12:00,9.034448076439528,0.6990193613276339,9.733467437767162
Diggers Rest,Normal Weekday,12:00–16:00,3.292196007259528,8.359346642468239,11.651542649727768
Diggers Rest,Normal Weekday,16:00–20:00,0.7564167941526432,12.593914669386368,13.350331463539012
Diggers Rest,Normal Weekday,20:00–00:00,0.01588814744200826,3.511280584683826,3.5271687321258343
Diggers Rest,Normal Weekend,00:00–04:00,0,0.8794326241134752,0.8794326241134752
